"","tweet","full_text","retweet_count","favorite_count","lang","word_count","bingNeg","bingPos","bingWords","bing","loughNeg","loughPos","loughWords","lough","nrcNeg","nrcPos","nrcWords","nrc","bingRatio","loughRatio","nrcRatio"
"435",496,"RT @KambojAnanya: Week 63rd #ClimateStrike🌍 in #India. 🇮🇳

Climate damage is happening, here and now. We need #ClimateActionNow, before it'…",253,0,"en",19,1,0,1,5.26315788919668e-10,1,0,1,5.26315788919668e-10,1,0,1,5.26315788919668e-10,0.0526315789473684,0.0526315789473684,0.0526315789473684
"436",497,"RT @AtlasSarrafoglu: #ClimateStrike 
If claiming my future makes me a dangerous radical, then what would you call the fossil fuel companies…",1283,0,"en",21,2,0,2,4.76190475736961e-10,2,0,2,4.76190475736961e-10,1,0,1,4.76190475736961e-10,0.0952380952380952,0.0952380952380952,0.0476190476190476
"437",498,"""Seven new oil and gas projects approved since IPCC report called for an end to fossil fuels""

Only one week has passed…
https://t.co/brMHktPROu",3462,7762,"en",25,0,0,0,3.9999999968e-10,0,0,0,3.9999999968e-10,0,0,0,3.9999999968e-10,0,0,0
"438",499,"RT @R_BrooksStand: Wet'suwet'en chiefs lead march to @RBC headquarters to confront Canada's largest fossil bank for their role in financing…",479,0,"en",20,1,1,2,0.05000000045,1,0,1,4.999999995e-10,0,2,2,0.1000000004,0.1,0.05,0.1
"439",500,"RT @_DylanHamilton_: School Strike for Climate week 164 in Edinburgh, Scotland! #FridaysForFuture https://t.co/neM51aijtE",248,0,"en",15,1,0,1,6.66666665777778e-10,0,0,0,6.66666665777778e-10,1,0,1,6.66666665777778e-10,0.0666666666666667,0,0.0666666666666667
"440",501,"RT @AtlasSarrafoglu: #ClimateStrike today for the last IPCC report which says it's now or never! https://t.co/yXSmydzCPK",1335,0,"en",18,0,0,0,5.55555554938272e-10,0,0,0,5.55555554938272e-10,0,0,0,5.55555554938272e-10,0,0,0
"441",502,"RT @patienceNabz: School strike week 101. There is no excuse for inaction #ClimateActionNow #FFFSolidarityWithSudan #FridaysForFuture #Peop…",405,0,"en",16,3,0,3,6.2499999921875e-10,1,0,1,6.2499999921875e-10,3,0,3,6.2499999921875e-10,0.1875,0.0625,0.1875
"442",503,"RT @eve_chantel: Africa is responsible for less than 4% of global CO2 emissions 
#SchoolStrikeForClimate 
⁦⁦@GretaThunberg⁩ ⁦@vanessa_vash⁩…",726,0,"en",16,0,0,0,6.2499999921875e-10,0,0,0,6.2499999921875e-10,0,1,1,0.062500000546875,0,0,0.0625
"443",504,"RT @Peters_Glen: ""Global GHG emissions are projected to peak ... at the latest before 2025""

This text from the IPCC WGIII report makes me…",394,0,"en",23,0,0,0,4.3478260831758e-10,0,0,0,4.3478260831758e-10,0,0,0,4.3478260831758e-10,0,0,0
"444",505,"RT @WakioDorcas: Week 72!
As Kenyans we are at the forefront of climate crisis,we are suffering from droughts,floods, locust invasion and f…",372,0,"en",24,2,0,2,4.16666666319444e-10,3,0,3,4.16666666319444e-10,4,0,4,4.16666666319444e-10,0.0833333333333333,0.125,0.166666666666667
